WESS_LAN_num,ISO_lang,Anglicized_name,Language_JFProd,Language_name_WCD,Dialect_name
23492,cjk,Nungu,"CHOKWE, ANGOLA",Nungu,
19372,cjm,East Cham,"CHAM, EASTERN",East Cham,
140126,cjp,Cabecar,CABECAR,Cabecar,
139114,ckb,Sorani,"KURDI, SORANI",Kurdi,Sorani
139115,ckb,Mukri,"KURDI, SORANI - EASTERN",Kurdi,Mukri
1345,cko,Anu,ANUFO,Anu,
159392,cky,Cakfem,CHAKFEM,Cakfem,
53423,cla,Wider Ron,LIS MA RON,,
134882,cla,Wider Ron,ALIS I RON,,
3099,clc,Chilcotin,CHILCOTIN,Chilcotin,
20592,cld,Chaldean,CHALDEAN,Chaldean,
2067,cme,Cerma,CERMA,,
20615,cmn,Mandarin,"MANDARIN, CHINA",Mandarin,
21211,cmn,Hui Formal,HUI,Jinyu,Hui Formal
21753,cmn,Global Chinese,"CHINESE, TRADITIONAL",,
21754,cmn,Global Chinese,"CHINESE, SIMPLIFIED",,
23061,cmn,Kun Gui,"CHINESE, YUNNAN (KUNMING)",Xinan Guan,Kun Gui
23062,cmn,Global Chinese,"CHINESE, SICHUAN",,
23221,cmn,Global Chinese,MANDARIN (TAIWAN),,
24096,cmn,Global Chinese,"CHINESE, QINGHAI",,
53352,cmn,Gui Liu,"CHINESE, GUILIU",Xinan Guan,Gui Liu
184540,cmn,Global Chinese,"CHINESE, QINGHAI HUI",,
2159,cmo,Pnong,"MNONG, CENTRAL",Pnong,
53346,cmr,Mrung,MRO,Mrung,
140060,cni,Ashani Nga,ASHANINKA,Ashani Nga,
1252,cnk,Khumi,"CHIN, KHUMI",Khumi,
7922,cnt,Tepetotutla,"CHINANTECO, TEPETOTUTLA",Tepetotutla,
4250,coe,Korewaxi,KOREGUAJE,Correguaje,Korewaxi
7343,coh,Conyi,CHONYI,Conyi,
184472,con,North Cofan,COFAN,North Cofan,
140083,cou,Meyny,WAMEY,Meyny,
23941,cpu,Pichis,ASHENINCA PICHIS,Pichis,
22335,crh,Crimean Tatar,CRIMEAN TATAR,Crimean Tatar,
3087,crk,West Cree,"CREE, WESTERN",Plains Cree,West Cree
8323,crn,Corapan,CORA,Corapan,
13079,crs,Seychellois,SESELWA CREOLE,Mauricien,Seychellois
12869,csb,Kashubian,KASHUBIAN,Kashubian,
1181,csh,Asho,"CHIN, ASHO",Asho,
13070,csk,Kasa,JOLA-KASA,Kasa,
4247,csn,Colombian Sign Language,COLOMBIAN SIGN LANGUAGE,South American,Colombian Sign Language
4394,csr,Costa Rican Sign Language,COSTA RICAN SIGN LANGUAGE,South American,Costa Rican Sign Language
159905,ctd,Tiddim,"ZOKAM, TEDIM",Tiddim,
21674,ctg,Bangla Chittagong,CHATGAYA CHITTAGONIAN MUSLIM,East Bangla,Bangla Chittagong
139131,ctg,Bangla Chittagong,CHATGAYA CHITTAGONIAN COMMON,East Bangla,Bangla Chittagong
7926,ctl,Tlacoatzintepec,"CHINANTECO, TLACOATZINTEPEC",Tlacoatzintepec,
8315,ctu,Tumbala,"CHOL, TUMBALA",Tumbala,
97686,cuc,Usila,"CHINANTEC, USILA",Usila,
140297,cuh,Cuka,GICHUKA,Cuka,
53430,cuk,Wider Kuna,KUNA,,
8284,cux,Tepeuxila,"CUICATECO, TEPEUXILA",Tepeuxila,
