asset_id,media_component_id
A531502242030390,1_jf6117-0-0
A536683935792757,1_jf-0-0
A536816414263293,1_jf6107-0-0
A536835470445789,1_jf-0-0
A537749418957943,1_jf-0-0
A539580843283271,3_0-40DWJ_36-0-0
A539978753635580,1_jf6158-0-0
A542114288926191,1_jf6127-0-0
A542807175877316,3_0-40DWJ_25-0-0
A542809968287627,3_0-7WDJ-Grace_05-0-0
A544157308673584,1_jf-0-0
A547520879738698,3_0-6DWJ-MAP_02-0-0
A549170299906678,2_0-Doll-Face
A549801936106567,1_jf6121-0-0
A550448679855641,1_jf61??-0-0
A551938138782598,1_jf6132-0-0
A552162025817109,1_jf-0-0
A553122502941214,1_jf-0-0
A554650657222923,1_riv_01-0-0
A556657444051879,1_jf-0-0
A557697101480131,1_jf-0-0
A558655917644777,1_riv_11-0-0
A558939140073764,1_jf-0-0
A561669000664961,2_Acts7371-0-0
A562507318013854,1_riv_09-0-0
A562554292800565,3_0-40DWJ_25-0-0
A564524710334330,3_0-7WDJ-Grace_04-0-0
A564586763177791,1_jf-0-0
A566517700721631,2_Acts-0-0
A566694088846154,1_jf-0-0
A566842756299388,1_jf6139-0-0
A567094912563933,1_jf-0-0
A568114188837523,1_jf6125-0-0
A568703538866687,2_Acts7368-0-0
A568769818433345,2_0-Not-Evelyn-Cho
A569944989579071,1_jf-0-0
A570375798925589,1_wl604408-0-0
A571275538360732,1_jf61??-0-0
A572028861601378,1_jf-0-0
A573712129150500,1_jf61??-0-0
A574550321947874,1_jf-0-0
A576328738613361,1_jf61??-0-0
A579263284107120,1_jf-0-0
A583048368127109,2_0-To-Be-Like-You
A583347856512369,1_jf-0-0
A583377156447235,3_0-40DWJ_07-0-0
A587463815746779,1_fj_1-0-0
A588024387250880,1_riv_04-0-0
A588589976352324,3_0-6DWJ-MAP_03-0-0
A589290570748744,1_jf-0-0
A591100254003992,1_jf-0-0
A591149184728393,2_Acts7314-0-0
A591543726121188,1_riv_09-0-0
A591741648855593,1_jf-0-0
A592482443739865,2_Acts-0-0
A595586089248921,1_jf6118-0-0
A595945494477540,2_0-Vigilant
A596542972091239,1_riv_01-0-0
A596952296777457,1_jf6108-0-0
A597651046482528,1_jf-0-0
A600421349749998,1_jf6130-0-0
A602712318609877,3_0-40DWJ_24-0-0
A603389449710608,1_riv_03-0-0
A604029274996690,1_jf-0-0
A604579947495894,1_jf6105-0-0
A604811158730526,1_jf6117-0-0
A607050313419020,1_jf-0-0
A607841096925836,1_jf-0-0
A608792655256881,2_Acts7306-0-0
A614718392531665,1_riv_06-0-0
A615836766362998,1_jf61??-0-0
A616860840883209,1_cl-0-0
A617391444167891,1_jf-0-0
A617535171413068,1_jf61??-0-0
A617888838698074,1_jf-0-0
A618086914088186,1_jf-0-0
A619725994376835,1_jf-0-0
A620033839759448,1_jf6107-0-0
A622749115426637,3_0-40DWJ_30-0-0
A624053554663233,2_0-Restored
A627469238575095,1_jf-0-0
A629258720047365,2_Acts7309-0-0
A629767448408535,1_jf-0-0
A631037622248425,2_0-1113
A637325198050906,1_wl604401-0-0
A639576435854494,2_Acts7366-0-0
A639832035967617,3_0-40DWJ_38-0-0
A641802895800005,2_Acts7329-0-0
A642760855242816,1_cl-0-0
A642845647610454,1_jf61??-0-0
A642850323188999,2_Acts7301-0-0
A643547811811164,1_jf-0-0
A644235521553526,3_0-6DWJ-MAP_04-0-0
A644925333283364,1_jf-0-0
A647308346837544,2_Acts7364-0-0
A651113745988167,3_0-40DWJ_40-0-0
A652912716309047,1_jf6109-0-0
A655068091982191,1_jf-0-0
A655942566146171,2_Acts7328-0-0
A657806902386389,1_jf-0-0
A659149765337322,1_jf6109-0-0
A659450615311836,1_jf-0-0
A659515036350023,1_jf61??-0-0
A666038033821990,1_jf-0-0
A668922172039307,1_jf-0-0
A669976186495107,1_jf6109-0-0
A672219016058084,1_jf6126-0-0
A673316316249698,2_Acts-0-0
A674726205225733,1_jf-0-0
A677359526505754,1_jf-0-0
A679249607774976,1_jf6105-0-0
A681521259141316,1_jf-0-0
A681764845690206,2_Acts-0-0
A682570347218942,2_Acts-0-0
A683659771861290,2_Acts7355-0-0
A683761199699173,1_jf6126-0-0
A687260891627243,1_jf-0-0
A689164546355944,1_jf-0-0
A690820223589150,2_Acts7312-0-0
A690921069700441,2_Acts7327-0-0
A692411258308147,2_0-Jatku-Leiba
A692504501425819,1_jf-0-0
A693437330178467,1_jf-0-0
A696399120485706,2_Acts-0-0
A697023195786199,1_riv_08-0-0
A697317950198268,1_cl-0-0
A698618378993467,1_riv_03-0-0
A699879041855634,1_jf-0-0
A702659558089979,2_0-JesusReally
A703183341781506,1_jf6107-0-0
A703255577781318,2_0-Crushing
A703452480208933,2_Acts7316-0-0
A704094774061594,1_jf-0-0
A704500521127466,1_jf-0-0
A705846460756513,1_jf6101-0-0
A705914300857477,3_IAm1212-0-0
A705923052124971,1_jf61??-0-0
A709662960966349,1_jf-0-0
A710805212753534,1_riv_09-0-0
A711772329361718,2_Acts-0-0
A712818853722254,1_jf-0-0
A713152827837856,3_0-40DWJ_27-0-0
A713592134846301,1_jf-0-0
A718652243762792,2_Acts7315-0-0
A719781402883725,1_jf-0-0
A720102490405984,1_riv_03-0-0
A720331714802297,2_Acts7364-0-0
A720610986393036,1_jf-0-0
A721521969315034,1_wjv_03-0-0
A721535754765681,1_jf-0-0
A721900418062782,1_jf6108-0-0
A722452699753825,2_0-Dying-Roads
A724545498066229,3_0-40DWJ_31-0-0
